,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),CXL.mem_P0Write,CXL.cache_P0hst->dv,DRAMRead,DRAMWrite,PMMREAD,PMMWrite,CXLRead,Read,Write,Memory
2026-01-14,17:53:46.506,   44.61,   21.72,    0.00,    0.00,,,,,   43.70,   21.04,    0.00,    0.00,,,,,   43.56,   20.83,    0.00,    0.00,,,,,   44.53,   21.67,    0.00,    0.00,,,,,  176.40,   85.26,    0.00,    0.00,  261.66,   18.51,   14.81,    0.00,    0.00,,,,,   18.45,   14.79,    0.00,    0.00,,,,,   18.35,   14.67,    0.00,    0.00,,,,,   18.50,   14.79,    0.00,    0.00,,,,,   73.81,   59.07,    0.00,    0.00,  132.87,    0.26,    0.00,    250.21,    144.33,      0.00,      0.00,      2.56,    250.21,    144.33,    394.54
2026-01-14,17:53:47.506,   46.90,   20.74,    0.00,    0.00,,,,,   46.13,   20.10,    0.00,    0.00,,,,,   46.03,   19.95,    0.00,    0.00,,,,,   46.84,   20.67,    0.00,    0.00,,,,,  185.91,   81.46,    0.00,    0.00,  267.37,   16.85,   13.52,    0.00,    0.00,,,,,   16.82,   13.51,    0.00,    0.00,,,,,   16.62,   13.32,    0.00,    0.00,,,,,   16.78,   13.45,    0.00,    0.00,,,,,   67.07,   53.80,    0.00,    0.00,  120.88,    0.10,    0.00,    252.98,    135.26,      0.00,      0.00,      2.59,    252.98,    135.26,    388.25
2026-01-14,17:53:48.506,  111.41,   59.49,    0.00,    0.00,,,,,  111.03,   59.28,    0.00,    0.00,,,,,  109.20,   57.74,    0.00,    0.00,,,,,  112.36,   60.41,    0.00,    0.00,,,,,  444.00,  236.91,    0.00,    0.00,  680.91,   33.00,   20.58,    0.00,    0.00,,,,,   32.97,   20.45,    0.00,    0.00,,,,,   34.17,   21.74,    0.00,    0.00,,,,,   32.26,   19.89,    0.00,    0.00,,,,,  132.40,   82.66,    0.00,    0.00,  215.07,    0.17,    0.00,    576.41,    319.57,      0.00,      0.00,      2.17,    576.41,    319.57,    895.98
2026-01-14,17:53:49.506,  108.12,   66.21,    0.00,    0.00,,,,,  107.42,   65.04,    0.00,    0.00,,,,,  103.40,   61.76,    0.00,    0.00,,,,,  111.94,   70.04,    0.00,    0.00,,,,,  430.88,  263.05,    0.00,    0.00,  693.93,   45.98,   29.32,    0.00,    0.00,,,,,   50.66,   33.38,    0.00,    0.00,,,,,   53.85,   36.70,    0.00,    0.00,,,,,   46.27,   29.31,    0.00,    0.00,,,,,  196.76,  128.72,    0.00,    0.00,  325.48,    0.13,    0.00,    627.64,    391.77,      0.00,      0.00,      2.16,    627.64,    391.77,   1019.41
2026-01-14,17:53:50.507,   75.33,   50.92,    0.00,    0.00,,,,,   73.04,   48.87,    0.00,    0.00,,,,,   69.17,   45.69,    0.00,    0.00,,,,,   78.80,   54.68,    0.00,    0.00,,,,,  296.34,  200.16,    0.00,    0.00,  496.50,   46.87,   32.31,    0.00,    0.00,,,,,   45.56,   30.19,    0.00,    0.00,,,,,   52.55,   37.40,    0.00,    0.00,,,,,   44.51,   29.93,    0.00,    0.00,,,,,  189.48,  129.83,    0.00,    0.00,  319.30,    0.10,    0.00,    485.82,    329.98,      0.00,      0.00,      1.96,    485.82,    329.98,    815.80
2026-01-14,17:53:51.506,   75.51,   50.46,    0.00,    0.00,,,,,   73.29,   48.59,    0.00,    0.00,,,,,   69.39,   45.41,    0.00,    0.00,,,,,   79.41,   54.73,    0.00,    0.00,,,,,  297.60,  199.19,    0.00,    0.00,  496.78,   50.32,   33.73,    0.00,    0.00,,,,,   52.37,   35.08,    0.00,    0.00,,,,,   57.09,   40.07,    0.00,    0.00,,,,,   49.32,   32.49,    0.00,    0.00,,,,,  209.10,  141.37,    0.00,    0.00,  350.47,    0.15,    0.00,    506.70,    340.55,      0.00,      0.00,      2.28,    506.70,    340.55,    847.25
2026-01-14,17:53:52.506,   67.21,   47.78,    0.00,    0.00,,,,,   64.21,   45.02,    0.00,    0.00,,,,,   60.86,   42.23,    0.00,    0.00,,,,,   71.64,   52.42,    0.00,    0.00,,,,,  263.92,  187.44,    0.00,    0.00,  451.36,   44.22,   30.15,    0.00,    0.00,,,,,   50.24,   35.54,    0.00,    0.00,,,,,   52.76,   38.21,    0.00,    0.00,,,,,   45.89,   31.18,    0.00,    0.00,,,,,  193.10,  135.08,    0.00,    0.00,  328.18,    6.19,    0.00,    457.02,    322.52,      0.00,      0.00,     33.48,    457.02,    322.52,    779.54
2026-01-14,17:53:53.506,   76.60,   51.48,    0.00,    0.00,,,,,   72.70,   48.11,    0.00,    0.00,,,,,   69.49,   45.38,    0.00,    0.00,,,,,   80.43,   55.57,    0.00,    0.00,,,,,  299.22,  200.55,    0.00,    0.00,  499.77,   45.95,   28.43,    0.00,    0.00,,,,,   52.02,   33.99,    0.00,    0.00,,,,,   54.78,   36.86,    0.00,    0.00,,,,,   47.40,   29.40,    0.00,    0.00,,,,,  200.15,  128.67,    0.00,    0.00,  328.82,   10.61,    0.00,    499.37,    329.21,      0.00,      0.00,      3.28,    499.37,    329.21,    828.59
2026-01-14,17:53:54.506,   79.03,   52.95,    0.00,    0.00,,,,,   74.38,   48.71,    0.00,    0.00,,,,,   72.35,   47.14,    0.00,    0.00,,,,,   82.59,   56.83,    0.00,    0.00,,,,,  308.35,  205.63,    0.00,    0.00,  513.98,   42.60,   27.66,    0.00,    0.00,,,,,   49.60,   33.79,    0.00,    0.00,,,,,   52.54,   36.98,    0.00,    0.00,,,,,   44.27,   28.79,    0.00,    0.00,,,,,  189.02,  127.21,    0.00,    0.00,  316.23,    2.26,    0.00,    497.37,    332.84,      0.00,      0.00,      2.73,    497.37,    332.84,    830.22
