,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),CXL.mem_P0Write,CXL.cache_P0hst->dv,DRAMRead,DRAMWrite,PMMREAD,PMMWrite,CXLRead,Read,Write,Memory
2026-01-14,17:58:13.745,   52.86,   22.23,    0.00,    0.00,,,,,   52.00,   21.58,    0.00,    0.00,,,,,   51.86,   21.42,    0.00,    0.00,,,,,   52.75,   22.15,    0.00,    0.00,,,,,  209.47,   87.38,    0.00,    0.00,  296.85,   23.40,   16.90,    0.00,    0.00,,,,,   23.12,   16.71,    0.00,    0.00,,,,,   22.98,   16.57,    0.00,    0.00,,,,,   23.38,   16.89,    0.00,    0.00,,,,,   92.87,   67.07,    0.00,    0.00,  159.94,    0.12,    0.00,    302.34,    154.46,      0.00,      0.00,      2.87,    302.34,    154.46,    456.79
2026-01-14,17:58:14.744,   79.80,   38.75,    0.00,    0.00,,,,,   79.02,   37.99,    0.00,    0.00,,,,,   79.05,   37.93,    0.00,    0.00,,,,,   79.63,   38.59,    0.00,    0.00,,,,,  317.49,  153.26,    0.00,    0.00,  470.76,   24.49,   16.77,    0.00,    0.00,,,,,   24.19,   16.56,    0.00,    0.00,,,,,   24.13,   16.46,    0.00,    0.00,,,,,   24.33,   16.63,    0.00,    0.00,,,,,   97.15,   66.42,    0.00,    0.00,  163.57,    0.16,    0.00,    414.64,    219.68,      0.00,      0.00,      2.59,    414.64,    219.68,    634.33
2026-01-14,17:58:15.744,   51.43,   25.65,    0.00,    0.00,,,,,   50.20,   24.79,    0.00,    0.00,,,,,   49.98,   24.52,    0.00,    0.00,,,,,   51.07,   25.38,    0.00,    0.00,,,,,  202.68,  100.35,    0.00,    0.00,  303.03,   87.89,   41.37,    0.00,    0.00,,,,,   87.92,   41.51,    0.00,    0.00,,,,,   87.52,   41.17,    0.00,    0.00,,,,,   87.72,   41.37,    0.00,    0.00,,,,,  351.04,  165.41,    0.00,    0.00,  516.46,  119.95,    0.00,    553.72,    265.76,      0.00,      0.00,     81.68,    553.72,    265.76,    819.48
2026-01-14,17:58:16.759,   31.68,   17.19,    0.00,    0.00,,,,,   30.72,   16.42,    0.00,    0.00,,,,,   30.41,   16.13,    0.00,    0.00,,,,,   31.37,   16.91,    0.00,    0.00,,,,,  124.19,   66.65,    0.00,    0.00,  190.83,   51.46,   18.30,    0.00,    0.00,,,,,   51.44,   18.43,    0.00,    0.00,,,,,   51.07,   18.08,    0.00,    0.00,,,,,   51.43,   18.41,    0.00,    0.00,,,,,  205.39,   73.21,    0.00,    0.00,  278.60,  360.38,    0.00,    329.58,    139.86,      0.00,      0.00,    409.04,    329.58,    139.86,    469.43
2026-01-14,17:58:17.744,   37.51,   19.07,    0.00,    0.00,,,,,   36.57,   18.28,    0.00,    0.00,,,,,   36.34,   18.05,    0.00,    0.00,,,,,   37.24,   18.84,    0.00,    0.00,,,,,  147.67,   74.24,    0.00,    0.00,  221.90,   50.03,   16.89,    0.00,    0.00,,,,,   49.79,   17.03,    0.00,    0.00,,,,,   49.28,   16.61,    0.00,    0.00,,,,,   49.88,   16.84,    0.00,    0.00,,,,,  198.98,   67.37,    0.00,    0.00,  266.35,  422.80,    0.00,    346.64,    141.61,      0.00,      0.00,    587.87,    346.64,    141.61,    488.25
2026-01-14,17:58:18.744,   42.78,   21.89,    0.00,    0.00,,,,,   41.66,   21.12,    0.00,    0.00,,,,,   41.33,   20.85,    0.00,    0.00,,,,,   42.29,   21.54,    0.00,    0.00,,,,,  168.05,   85.41,    0.00,    0.00,  253.46,   44.17,   18.88,    0.00,    0.00,,,,,   44.15,   19.18,    0.00,    0.00,,,,,   43.95,   18.95,    0.00,    0.00,,,,,   44.08,   18.93,    0.00,    0.00,,,,,  176.35,   75.94,    0.00,    0.00,  252.29,  326.38,    0.00,    344.40,    161.34,      0.00,      0.00,    467.28,    344.40,    161.34,    505.74
2026-01-14,17:58:19.745,   54.67,   25.27,    0.00,    0.00,,,,,   53.51,   24.34,    0.00,    0.00,,,,,   53.15,   24.04,    0.00,    0.00,,,,,   54.24,   24.99,    0.00,    0.00,,,,,  215.56,   98.64,    0.00,    0.00,  314.20,   65.34,   19.28,    0.00,    0.00,,,,,   65.44,   19.96,    0.00,    0.00,,,,,   64.81,   19.35,    0.00,    0.00,,,,,   65.19,   19.32,    0.00,    0.00,,,,,  260.78,   77.90,    0.00,    0.00,  338.69, 4498.48,    0.00,    476.35,    176.54,      0.00,      0.00,   3864.36,    476.35,    176.54,    652.89
2026-01-14,17:58:20.746,  124.45,   20.37,    0.00,    0.00,,,,,  123.68,   19.67,    0.00,    0.00,,,,,  123.50,   19.44,    0.00,    0.00,,,,,  124.19,   20.09,    0.00,    0.00,,,,,  495.82,   79.58,    0.00,    0.00,  575.39,   70.93,   19.51,    0.00,    0.00,,,,,   70.29,   19.84,    0.00,    0.00,,,,,   69.53,   19.27,    0.00,    0.00,,,,,   70.67,   19.55,    0.00,    0.00,,,,,  281.42,   78.17,    0.00,    0.00,  359.58,10943.27,    0.00,    777.23,    157.75,      0.00,      0.00,  10872.07,    777.23,    157.75,    934.98
2026-01-14,17:58:21.745,  342.86,   23.89,    0.00,    0.00,,,,,  342.24,   23.11,    0.00,    0.00,,,,,  342.14,   22.98,    0.00,    0.00,,,,,  342.67,   23.60,    0.00,    0.00,,,,, 1369.90,   93.58,    0.00,    0.00, 1463.48,   62.18,   18.96,    0.00,    0.00,,,,,   61.65,   19.01,    0.00,    0.00,,,,,   60.69,   18.21,    0.00,    0.00,,,,,   61.87,   18.75,    0.00,    0.00,,,,,  246.38,   74.93,    0.00,    0.00,  321.31,11470.02,    0.00,   1616.29,    168.51,      0.00,      0.00,  12810.94,   1616.29,    168.51,   1784.79
2026-01-14,17:58:22.745,   91.93,   23.65,    0.00,    0.00,,,,,   90.92,   22.90,    0.00,    0.00,,,,,   90.83,   22.69,    0.00,    0.00,,,,,   91.69,   23.35,    0.00,    0.00,,,,,  365.37,   92.59,    0.00,    0.00,  457.96,   48.41,   16.81,    0.00,    0.00,,,,,   48.00,   16.99,    0.00,    0.00,,,,,   47.32,   16.59,    0.00,    0.00,,,,,   48.61,   16.86,    0.00,    0.00,,,,,  192.35,   67.25,    0.00,    0.00,  259.60,12159.98,    0.00,    557.71,    159.85,      0.00,      0.00,  14514.39,    557.71,    159.85,    717.56
